Run,Source,Exact Match,In List,Not in List
1,bottom,39.0,23.0,397.0
1,middle,115.0,16.0,369.0
1,top,171.0,5.0,324.0
2,bottom,38.0,21.0,400.0
2,middle,116.0,18.0,366.0
2,top,168.0,5.0,327.0
3,bottom,40.0,21.0,398.0
3,middle,112.0,16.0,372.0
3,top,169.0,7.0,324.0
4,bottom,38.0,23.0,398.0
4,middle,110.0,17.0,373.0
4,top,171.0,5.0,324.0
5,bottom,39.0,25.0,395.0
5,middle,112.0,20.0,368.0
5,top,169.0,7.0,324.0
Average,bottom,38.8,22.6,397.6
Average,middle,113.0,17.4,369.6
Average,top,169.6,5.8,324.6
